ChurnID,CustomerID,Date,Motivo
CHRN00232,CUST006990,2024-07-01,Preço
CHRN00233,CUST048891,2023-08-07,Preço
CHRN00234,CUST024945,2024-03-23,Mau Atendimento
CHRN00235,CUST008617,2024-05-21,Mau Atendimento
CHRN00236,CUST011445,2023-01-14,Concorrência
CHRN00237,CUST034831,2023-12-23,Insatisfação Rede
CHRN00238,CUST033204,2025-09-17,Insatisfação Rede
CHRN00239,CUST009851,2025-11-26,Insatisfação Rede
CHRN00240,CUST030894,2023-07-28,Preço
CHRN00241,CUST028806,2025-04-25,Concorrência
CHRN00242,CUST034652,2024-10-09,Preço
CHRN00243,CUST021540,2023-08-27,Mau Atendimento
CHRN00244,CUST038492,2024-08-23,Preço
CHRN00245,CUST042113,2024-06-28,Insatisfação Rede
CHRN00246,CUST006274,2023-10-10,Mau Atendimento
CHRN00247,CUST042637,2023-10-01,Mau Atendimento
CHRN00248,CUST035647,2024-09-10,Insatisfação Rede
CHRN00249,CUST045143,2024-09-07,Concorrência
CHRN00250,CUST018266,2023-12-19,Preço
CHRN00251,CUST028312,2025-02-07,Insatisfação Rede
CHRN00252,CUST013157,2024-04-09,Insatisfação Rede
CHRN00253,CUST036834,2025-04-12,Concorrência
CHRN00254,CUST033178,2025-08-24,Preço
CHRN00255,CUST048154,2024-05-12,Insatisfação Rede
CHRN00256,CUST012407,2025-04-30,Mau Atendimento
CHRN00257,CUST045978,2023-04-27,Concorrência
CHRN00258,CUST037359,2024-11-05,Mau Atendimento
CHRN00259,CUST000445,2024-10-17,Concorrência
CHRN00260,CUST018076,2025-06-19,Mau Atendimento
CHRN00261,CUST017113,2025-11-11,Preço
CHRN00262,CUST006022,2024-06-18,Insatisfação Rede
CHRN00263,CUST041661,2025-01-22,Preço
CHRN00264,CUST031296,2023-05-11,Insatisfação Rede
CHRN00265,CUST038213,2025-02-16,Concorrência
CHRN00266,CUST026423,2025-04-30,Concorrência
CHRN00267,CUST030626,2023-09-19,Mau Atendimento
CHRN00268,CUST021029,2023-12-12,Insatisfação Rede
CHRN00269,CUST006599,2023-01-14,Concorrência
CHRN00270,CUST018984,2023-10-23,Insatisfação Rede
CHRN00271,CUST022330,2023-08-30,Concorrência
CHRN00272,CUST049431,2024-11-07,Insatisfação Rede
CHRN00273,CUST003136,2025-10-25,Preço
CHRN00274,CUST019045,2025-12-11,Preço
CHRN00275,CUST000038,2025-01-10,Insatisfação Rede
CHRN00276,CUST017496,2023-07-17,Mau Atendimento
CHRN00277,CUST007887,2023-01-03,Preço
CHRN00278,CUST012616,2025-09-12,Insatisfação Rede
CHRN00279,CUST016338,2023-04-14,Preço
CHRN00280,CUST022493,2024-11-28,Preço
CHRN00281,CUST049388,2025-01-14,Mau Atendimento
CHRN00282,CUST047247,2023-04-06,Preço
CHRN00283,CUST041114,2023-09-09,Concorrência
CHRN00284,CUST008582,2023-10-25,Concorrência
CHRN00285,CUST013936,2023-07-12,Concorrência
CHRN00286,CUST020971,2024-09-30,Preço
CHRN00287,CUST022345,2024-05-17,Concorrência
CHRN00288,CUST024692,2025-08-19,Concorrência
CHRN00289,CUST045247,2023-05-23,Preço
CHRN00290,CUST037620,2025-02-13,Preço
CHRN00291,CUST004443,2023-08-28,Insatisfação Rede
CHRN00292,CUST008229,2023-12-08,Preço
CHRN00293,CUST018777,2024-12-19,Concorrência
CHRN00294,CUST000028,2024-05-18,Concorrência
CHRN00295,CUST047560,2023-04-14,Mau Atendimento
CHRN00296,CUST047862,2025-10-15,Preço
CHRN00297,CUST004088,2024-02-01,Concorrência
CHRN00298,CUST028694,2025-12-20,Insatisfação Rede
CHRN00299,CUST044835,2023-02-10,Insatisfação Rede
CHRN00300,CUST018777,2025-03-24,Preço
CHRN00301,CUST003136,2023-03-10,Concorrência
CHRN00302,CUST042765,2024-05-02,Concorrência
CHRN00303,CUST009570,2024-10-12,Concorrência
CHRN00304,CUST041214,2025-12-17,Mau Atendimento
CHRN00305,CUST010944,2024-12-09,Insatisfação Rede
CHRN00306,CUST021161,2024-04-20,Preço
CHRN00307,CUST030366,2024-03-24,Preço
CHRN00308,CUST044395,2025-07-01,Insatisfação Rede
CHRN00309,CUST003861,2025-10-29,Insatisfação Rede
CHRN00310,CUST036860,2023-07-08,Preço
CHRN00311,CUST048289,2024-04-06,Mau Atendimento
CHRN00312,CUST025546,2023-02-07,Concorrência
CHRN00313,CUST023245,2024-07-17,Mau Atendimento
CHRN00314,CUST041210,2025-10-17,Mau Atendimento
CHRN00315,CUST011416,2025-09-27,Preço
CHRN00316,CUST009381,2023-09-16,Mau Atendimento
CHRN00317,CUST026144,2025-12-13,Concorrência
CHRN00318,CUST036912,2025-11-04,Insatisfação Rede
CHRN00319,CUST017710,2023-01-18,Concorrência
CHRN00320,CUST033414,2024-12-28,Preço
CHRN00321,CUST022850,2025-09-20,Insatisfação Rede
CHRN00322,CUST014978,2023-10-03,Preço
CHRN00323,CUST039891,2024-11-19,Preço
CHRN00324,CUST046997,2024-12-22,Preço
CHRN00325,CUST039155,2023-04-14,Insatisfação Rede
CHRN00326,CUST015791,2024-03-04,Concorrência
CHRN00327,CUST037965,2024-03-29,Insatisfação Rede
CHRN00328,CUST014977,2023-10-15,Concorrência
CHRN00329,CUST028645,2023-10-07,Concorrência
CHRN00330,CUST034642,2023-07-11,Mau Atendimento
CHRN00331,CUST009133,2024-12-01,Mau Atendimento
CHRN00332,CUST007648,2025-08-03,Insatisfação Rede
CHRN00333,CUST011746,2023-03-26,Preço
CHRN00334,CUST009788,2023-05-12,Mau Atendimento
CHRN00335,CUST007397,2025-11-18,Concorrência
CHRN00336,CUST013586,2023-04-03,Insatisfação Rede
CHRN00337,CUST027285,2024-05-09,Mau Atendimento
CHRN00338,CUST010335,2024-10-21,Mau Atendimento
CHRN00339,CUST041226,2024-07-04,Insatisfação Rede
CHRN00340,CUST010711,2024-11-02,Insatisfação Rede
CHRN00341,CUST018538,2023-08-20,Insatisfação Rede
CHRN00342,CUST034313,2025-01-26,Insatisfação Rede
CHRN00343,CUST039813,2023-01-04,Preço
CHRN00344,CUST022111,2024-04-28,Mau Atendimento
CHRN00345,CUST015475,2023-10-24,Concorrência
CHRN00346,CUST031601,2025-02-11,Mau Atendimento
CHRN00347,CUST037724,2023-09-23,Mau Atendimento
CHRN00348,CUST011955,2025-02-21,Insatisfação Rede
CHRN00349,CUST025443,2025-08-06,Preço
CHRN00350,CUST049367,2024-03-16,Insatisfação Rede
CHRN00351,CUST030284,2024-01-16,Concorrência
CHRN00352,CUST019015,2023-08-26,Insatisfação Rede
CHRN00353,CUST040258,2025-11-28,Preço
CHRN00354,CUST018236,2023-05-16,Mau Atendimento
CHRN00355,CUST003900,2025-07-09,Concorrência
CHRN00356,CUST022874,2024-11-18,Mau Atendimento
CHRN00357,CUST021065,2024-08-14,Concorrência
CHRN00358,CUST011439,2025-09-09,Mau Atendimento
CHRN00359,CUST006943,2025-05-23,Mau Atendimento
CHRN00360,CUST048875,2025-09-09,Mau Atendimento
CHRN00361,CUST003546,2025-03-09,Preço
CHRN00362,CUST043664,2025-06-20,Concorrência
CHRN00363,CUST022259,2024-11-27,Mau Atendimento
CHRN00364,CUST016945,2023-05-20,Mau Atendimento
CHRN00365,CUST004364,2024-10-05,Insatisfação Rede
CHRN00366,CUST017513,2023-03-08,Mau Atendimento
CHRN00367,CUST023680,2023-05-08,Preço
CHRN00368,CUST006465,2024-12-24,Preço
CHRN00369,CUST014861,2023-10-19,Concorrência
CHRN00370,CUST037107,2024-08-09,Mau Atendimento
CHRN00371,CUST047558,2024-05-02,Preço
CHRN00372,CUST009468,2023-07-24,Concorrência
CHRN00373,CUST036934,2023-02-05,Insatisfação Rede
CHRN00374,CUST044180,2024-05-24,Concorrência
CHRN00375,CUST035245,2023-11-04,Concorrência
CHRN00376,CUST047331,2023-04-03,Mau Atendimento
CHRN00377,CUST028502,2024-11-25,Insatisfação Rede
CHRN00378,CUST024305,2023-09-13,Insatisfação Rede
CHRN00379,CUST010899,2023-03-02,Insatisfação Rede
CHRN00380,CUST045994,2025-12-07,Concorrência
CHRN00381,CUST026204,2025-08-20,Preço
CHRN00382,CUST032914,2024-08-19,Preço
CHRN00383,CUST012037,2025-05-29,Concorrência
CHRN00384,CUST024914,2023-08-18,Mau Atendimento
CHRN00385,CUST020412,2023-02-21,Mau Atendimento
CHRN00386,CUST009688,2025-07-15,Insatisfação Rede
CHRN00387,CUST017395,2024-10-08,Concorrência
CHRN00388,CUST032395,2024-05-09,Preço
CHRN00389,CUST035271,2025-02-02,Concorrência
CHRN00390,CUST013023,2023-07-02,Mau Atendimento
CHRN00391,CUST030847,2025-07-19,Mau Atendimento
CHRN00392,CUST012839,2024-09-09,Insatisfação Rede
CHRN00393,CUST015514,2024-04-04,Insatisfação Rede
CHRN00394,CUST034633,2023-09-02,Insatisfação Rede
CHRN00395,CUST010149,2024-12-06,Mau Atendimento
CHRN00396,CUST011349,2024-11-17,Preço
CHRN00397,CUST001397,2024-04-08,Insatisfação Rede
CHRN00398,CUST048116,2025-04-28,Preço
CHRN00399,CUST002445,2023-04-17,Insatisfação Rede
CHRN00400,CUST011326,2025-11-11,Mau Atendimento
CHRN00401,CUST027869,2024-09-14,Preço
CHRN00402,CUST025210,2023-02-25,Insatisfação Rede
CHRN00403,CUST011326,2024-08-28,Preço
CHRN00404,CUST039430,2023-11-29,Concorrência
CHRN00405,CUST027549,2023-12-18,Insatisfação Rede
CHRN00406,CUST010796,2023-09-02,Preço
CHRN00407,CUST034447,2023-04-14,Concorrência
CHRN00408,CUST004440,2025-05-12,Concorrência
CHRN00409,CUST031274,2023-09-01,Preço
CHRN00410,CUST005736,2023-01-02,Mau Atendimento
CHRN00411,CUST020344,2025-09-20,Insatisfação Rede
CHRN00412,CUST036792,2025-03-13,Mau Atendimento
CHRN00413,CUST044393,2023-04-19,Preço
CHRN00414,CUST023737,2023-12-12,Insatisfação Rede
CHRN00415,CUST034259,2024-04-05,Preço
CHRN00416,CUST016194,2023-09-06,Mau Atendimento
CHRN00417,CUST031781,2023-01-21,Concorrência
CHRN00418,CUST043844,2024-07-20,Mau Atendimento
CHRN00419,CUST012829,2024-08-17,Preço
CHRN00420,CUST032318,2025-10-02,Preço
CHRN00421,CUST038878,2024-04-02,Insatisfação Rede
CHRN00422,CUST024590,2023-07-23,Preço
CHRN00423,CUST039679,2023-09-16,Preço
CHRN00424,CUST020303,2023-02-17,Mau Atendimento
CHRN00425,CUST038549,2025-12-02,Insatisfação Rede
CHRN00426,CUST029945,2024-03-26,Concorrência
CHRN00427,CUST015073,2025-09-02,Insatisfação Rede
CHRN00428,CUST049911,2023-01-27,Insatisfação Rede
CHRN00429,CUST009265,2023-02-27,Insatisfação Rede
CHRN00430,CUST030111,2025-03-28,Preço
CHRN00431,CUST044315,2025-04-22,Preço
CHRN00432,CUST009704,2023-01-17,Mau Atendimento
CHRN00433,CUST013713,2023-02-14,Concorrência
CHRN00434,CUST041765,2023-09-08,Preço
CHRN00435,CUST030660,2025-10-11,Concorrência
CHRN00436,CUST026429,2023-08-10,Mau Atendimento
CHRN00437,CUST005953,2024-09-03,Mau Atendimento
CHRN00438,CUST031678,2025-07-11,Concorrência
CHRN00439,CUST049272,2024-12-30,Concorrência
CHRN00440,CUST009670,2023-05-12,Preço
CHRN00441,CUST048922,2023-03-18,Concorrência
CHRN00442,CUST040241,2023-11-10,Insatisfação Rede
CHRN00443,CUST028642,2025-12-05,Preço
CHRN00444,CUST038746,2024-12-18,Insatisfação Rede
CHRN00445,CUST037921,2023-06-03,Concorrência
CHRN00446,CUST000030,2024-02-03,Preço
CHRN00447,CUST035466,2023-06-20,Insatisfação Rede
CHRN00448,CUST004536,2023-09-20,Concorrência
CHRN00449,CUST015059,2025-01-27,Insatisfação Rede
CHRN00450,CUST028701,2023-11-28,Preço
CHRN00451,CUST045665,2024-02-20,Concorrência
CHRN00452,CUST046885,2025-06-22,Preço
CHRN00453,CUST046201,2023-10-04,Insatisfação Rede
CHRN00454,CUST026803,2024-03-27,Preço
CHRN00455,CUST037456,2024-09-04,Mau Atendimento
CHRN00456,CUST018236,2025-03-24,Preço
CHRN00457,CUST032918,2025-07-15,Insatisfação Rede
CHRN00458,CUST025836,2025-12-02,Concorrência
CHRN00459,CUST006203,2023-10-04,Insatisfação Rede
CHRN00460,CUST042702,2023-10-31,Preço
CHRN00461,CUST003991,2023-10-31,Preço
CHRN00462,CUST013085,2023-01-24,Concorrência
CHRN00463,CUST006007,2024-02-22,Mau Atendimento
CHRN00464,CUST013126,2024-07-22,Mau Atendimento
CHRN00465,CUST026739,2024-04-10,Mau Atendimento
CHRN00466,CUST002067,2023-11-03,Mau Atendimento
CHRN00467,CUST011687,2025-08-12,Preço
CHRN00468,CUST049651,2025-11-13,Insatisfação Rede
CHRN00469,CUST000371,2024-02-07,Insatisfação Rede
CHRN00470,CUST001560,2023-05-03,Concorrência
CHRN00471,CUST024346,2023-10-02,Concorrência
CHRN00472,CUST043548,2025-02-04,Insatisfação Rede
CHRN00473,CUST039117,2025-08-14,Insatisfação Rede
CHRN00474,CUST047451,2023-12-04,Concorrência
CHRN00475,CUST033495,2023-09-22,Preço
CHRN00476,CUST029599,2025-09-11,Preço
CHRN00477,CUST040029,2025-09-14,Insatisfação Rede
CHRN00478,CUST045902,2024-09-06,Preço
CHRN00479,CUST048707,2023-06-28,Mau Atendimento
CHRN00480,CUST020700,2024-11-25,Insatisfação Rede
CHRN00481,CUST041660,2024-10-04,Preço
CHRN00482,CUST029699,2023-08-10,Insatisfação Rede
CHRN00483,CUST035645,2023-05-06,Concorrência
CHRN00484,CUST030775,2025-03-24,Concorrência
CHRN00485,CUST040707,2023-01-30,Concorrência
CHRN00486,CUST015943,2025-04-21,Insatisfação Rede
CHRN00487,CUST046601,2025-06-18,Concorrência
CHRN00488,CUST039946,2023-03-11,Concorrência
CHRN00489,CUST017648,2025-06-11,Preço
CHRN00490,CUST026267,2024-07-19,Concorrência
CHRN00491,CUST034979,2024-08-29,Concorrência
CHRN00492,CUST049267,2025-05-07,Concorrência
CHRN00493,CUST011270,2025-07-03,Preço
CHRN00494,CUST028150,2024-11-20,Preço
CHRN00495,CUST032649,2023-03-24,Preço
CHRN00496,CUST020199,2025-12-16,Mau Atendimento
CHRN00497,CUST026540,2024-03-26,Insatisfação Rede
CHRN00498,CUST002166,2025-10-05,Concorrência
CHRN00499,CUST040682,2025-10-20,Insatisfação Rede
CHRN00500,CUST013603,2024-10-13,Mau Atendimento
CHRN00501,CUST037184,2025-12-25,Insatisfação Rede
CHRN00502,CUST019360,2023-07-28,Concorrência
CHRN00503,CUST010485,2025-08-20,Insatisfação Rede
CHRN00504,CUST001576,2023-12-17,Mau Atendimento
CHRN00505,CUST040757,2025-09-10,Concorrência
CHRN00506,CUST014613,2025-11-05,Mau Atendimento
CHRN00507,CUST025654,2023-07-29,Insatisfação Rede
CHRN00508,CUST009674,2024-07-27,Insatisfação Rede
CHRN00509,CUST033641,2023-10-10,Preço
CHRN00510,CUST025768,2025-02-15,Insatisfação Rede
CHRN00511,CUST013679,2025-02-16,Insatisfação Rede
CHRN00512,CUST030949,2025-04-02,Preço
