CustomerID,Segmento,Sexo,Idade,Distrito,CanalPreferencial
CUST000162,Residencial,M,49,Lisboa,Loja/Telefone
CUST000163,Residencial,F,75,Setúbal,Loja/Telefone
CUST000164,Residencial,F,18,Braga,App/Online
CUST000165,Residencial,F,46,Porto,Loja/Telefone
CUST000166,VIP,F,35,Lisboa,Loja/Telefone
CUST000167,Residencial,M,58,Porto,Loja/Telefone
CUST000168,Residencial,M,18,Braga,App/Online
CUST000169,Empresarial,Empresa,,Leiria,Loja/Telefone
CUST000170,Residencial,M,41,Lisboa,Loja/Telefone
CUST000171,VIP,F,69,Braga,Loja/Telefone
CUST000172,Residencial,F,23,Porto,App/Online
CUST000173,Residencial,F,42,Porto,Loja/Telefone
CUST000174,Residencial,F,33,Évora,App/Online
CUST000175,VIP,F,25,Setúbal,App/Online
CUST000176,Residencial,F,48,Lisboa,Loja/Telefone
CUST000177,Residencial,F,44,Braga,Loja/Telefone
CUST000178,Residencial,F,18,Santarém,App/Online
CUST000179,Residencial,M,27,Setúbal,App/Online
CUST000180,Residencial,M,23,Lisboa,App/Online
CUST000181,Residencial,F,30,Faro,App/Online
CUST000182,Residencial,F,29,Lisboa,App/Online
CUST000183,Empresarial,Empresa,,Guarda,Loja/Telefone
CUST000184,Empresarial,Empresa,,Aveiro,Loja/Telefone
CUST000185,Residencial,F,31,Porto,App/Online
CUST000186,Residencial,M,70,Santarém,Loja/Telefone
CUST000187,Residencial,F,35,Porto,Loja/Telefone
CUST000188,Residencial,F,47,Porto,Loja/Telefone
CUST000189,Residencial,F,40,Lisboa,Loja/Telefone
CUST000190,Residencial,F,67,Leiria,Loja/Telefone
CUST000191,Residencial,M,41,Beja,Loja/Telefone
CUST000192,Empresarial,Empresa,,Aveiro,Loja/Telefone
CUST000193,Residencial,F,34,Lisboa,App/Online
CUST000194,Residencial,F,50,Coimbra,Loja/Telefone
CUST000195,Residencial,M,53,Viseu,Loja/Telefone
CUST000196,Residencial,F,58,Braga,Loja/Telefone
CUST000197,Residencial,F,36,Vila Real,Loja/Telefone
CUST000198,Residencial,M,28,Évora,App/Online
CUST000199,Residencial,F,41,Porto,Loja/Telefone
CUST000200,Residencial,M,51,Lisboa,Loja/Telefone
CUST000201,Residencial,M,64,Faro,Loja/Telefone
CUST000202,Residencial,M,41,Porto,Loja/Telefone
CUST000203,Residencial,M,59,Porto,Loja/Telefone
CUST000204,Residencial,M,26,Porto,App/Online
CUST000205,Residencial,M,44,Aveiro,Loja/Telefone
CUST000206,Residencial,M,22,Braga,App/Online
CUST000207,Empresarial,Empresa,,Setúbal,Loja/Telefone
CUST000208,Residencial,F,61,Lisboa,Loja/Telefone
CUST000209,Residencial,M,57,Madeira,Loja/Telefone
CUST000210,Residencial,F,31,Porto,App/Online
CUST000211,Residencial,F,35,Setúbal,Loja/Telefone
CUST000212,Residencial,M,25,Leiria,App/Online
CUST000213,Residencial,M,39,Porto,Loja/Telefone
CUST000214,VIP,M,58,Porto,Loja/Telefone
CUST000215,Empresarial,Empresa,,Coimbra,Loja/Telefone
CUST000216,Empresarial,Empresa,,Leiria,Loja/Telefone
CUST000217,Residencial,M,18,Porto,App/Online
CUST000218,Residencial,M,18,Lisboa,App/Online
CUST000219,Residencial,M,18,Porto,App/Online
CUST000220,Residencial,F,38,Coimbra,Loja/Telefone
CUST000221,Residencial,F,31,Lisboa,App/Online
CUST000222,Empresarial,Empresa,,Aveiro,Loja/Telefone
CUST000223,Residencial,F,49,Açores,Loja/Telefone
CUST000224,VIP,F,29,Braga,App/Online
CUST000225,Residencial,M,44,Setúbal,Loja/Telefone
CUST000226,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000227,Residencial,M,41,Lisboa,Loja/Telefone
CUST000228,Residencial,M,43,Madeira,Loja/Telefone
CUST000229,Residencial,F,61,Porto,Loja/Telefone
CUST000230,Residencial,F,73,Viana do Castelo,Loja/Telefone
CUST000231,Residencial,M,59,Braga,Loja/Telefone
CUST000232,VIP,F,32,Castelo Branco,App/Online
CUST000233,Residencial,M,42,Açores,Loja/Telefone
CUST000234,Residencial,F,38,Aveiro,Loja/Telefone
CUST000235,Residencial,M,18,Porto,App/Online
CUST000236,Residencial,M,45,Coimbra,Loja/Telefone
CUST000237,Residencial,M,55,Aveiro,Loja/Telefone
CUST000238,Residencial,M,18,Faro,App/Online
CUST000239,Residencial,M,32,Aveiro,App/Online
CUST000240,Residencial,F,30,Faro,App/Online
CUST000241,Residencial,M,49,Santarém,Loja/Telefone
CUST000242,Residencial,F,52,Açores,Loja/Telefone
CUST000243,Residencial,M,73,Setúbal,Loja/Telefone
CUST000244,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000245,Residencial,M,57,Porto,Loja/Telefone
CUST000246,Residencial,M,43,Porto,Loja/Telefone
CUST000247,Residencial,F,38,Porto,Loja/Telefone
CUST000248,Residencial,F,39,Porto,Loja/Telefone
CUST000249,Empresarial,Empresa,,Faro,Loja/Telefone
CUST000250,Residencial,F,39,Vila Real,Loja/Telefone
CUST000251,Residencial,M,23,Lisboa,App/Online
CUST000252,Residencial,M,45,Braga,Loja/Telefone
CUST000253,Residencial,M,49,Setúbal,Loja/Telefone
CUST000254,Residencial,M,43,Lisboa,Loja/Telefone
CUST000255,Residencial,F,43,Lisboa,Loja/Telefone
CUST000256,Residencial,F,49,Porto,Loja/Telefone
CUST000257,Residencial,F,38,Porto,Loja/Telefone
CUST000258,Residencial,M,50,Setúbal,Loja/Telefone
CUST000259,Residencial,M,47,Porto,Loja/Telefone
CUST000260,Residencial,M,48,Leiria,Loja/Telefone
CUST000261,Residencial,F,59,Setúbal,Loja/Telefone
CUST000262,Residencial,M,51,Braga,Loja/Telefone
CUST000263,VIP,F,18,Porto,App/Online
CUST000264,Residencial,M,55,Braga,Loja/Telefone
CUST000265,Residencial,M,63,Santarém,Loja/Telefone
CUST000266,Residencial,M,63,Coimbra,Loja/Telefone
CUST000267,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000268,Residencial,M,50,Lisboa,Loja/Telefone
CUST000269,Residencial,M,47,Leiria,Loja/Telefone
CUST000270,Residencial,M,37,Porto,Loja/Telefone
CUST000271,Residencial,F,23,Santarém,App/Online
CUST000272,Empresarial,Empresa,,Madeira,Loja/Telefone
CUST000273,Empresarial,Empresa,,Leiria,Loja/Telefone
CUST000274,Residencial,M,31,Lisboa,App/Online
CUST000275,Residencial,M,57,Viana do Castelo,Loja/Telefone
CUST000276,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000277,Residencial,F,53,Lisboa,Loja/Telefone
CUST000278,Residencial,M,44,Porto,Loja/Telefone
CUST000279,Residencial,M,64,Setúbal,Loja/Telefone
CUST000280,Residencial,M,70,Porto,Loja/Telefone
CUST000281,Empresarial,Empresa,,Setúbal,Loja/Telefone
CUST000282,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000283,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000284,Residencial,M,53,Lisboa,Loja/Telefone
CUST000285,Empresarial,Empresa,,Setúbal,Loja/Telefone
CUST000286,Residencial,M,61,Madeira,Loja/Telefone
CUST000287,Residencial,M,43,Leiria,Loja/Telefone
CUST000288,Residencial,F,52,Aveiro,Loja/Telefone
CUST000289,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000290,Empresarial,Empresa,,Leiria,Loja/Telefone
CUST000291,Residencial,M,32,Porto,App/Online
CUST000292,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000293,Residencial,F,47,Setúbal,Loja/Telefone
CUST000294,Residencial,F,41,Porto,Loja/Telefone
CUST000295,Residencial,M,22,Porto,App/Online
CUST000296,Residencial,M,22,Leiria,App/Online
CUST000297,Residencial,M,35,Porto,Loja/Telefone
CUST000298,Residencial,F,35,Braga,Loja/Telefone
CUST000299,Residencial,M,25,Lisboa,App/Online
CUST000300,Residencial,M,37,Braga,Loja/Telefone
CUST000301,Residencial,F,59,Braga,Loja/Telefone
CUST000302,Residencial,F,50,Lisboa,Loja/Telefone
CUST000303,Residencial,F,27,Coimbra,App/Online
CUST000304,Residencial,M,60,Lisboa,Loja/Telefone
CUST000305,Residencial,F,60,Lisboa,Loja/Telefone
CUST000306,Residencial,F,21,Évora,App/Online
CUST000307,Residencial,M,65,Braga,Loja/Telefone
CUST000308,Residencial,F,54,Porto,Loja/Telefone
CUST000309,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000310,Residencial,M,30,Santarém,App/Online
CUST000311,Residencial,F,40,Setúbal,Loja/Telefone
CUST000312,VIP,M,37,Porto,Loja/Telefone
CUST000313,Residencial,M,34,Lisboa,App/Online
CUST000314,Residencial,M,34,Leiria,App/Online
CUST000315,Residencial,M,31,Lisboa,App/Online
CUST000316,Residencial,F,54,Lisboa,Loja/Telefone
CUST000317,Residencial,M,47,Lisboa,Loja/Telefone
CUST000318,Residencial,M,61,Viseu,Loja/Telefone
CUST000319,Residencial,F,18,Faro,App/Online
CUST000320,Residencial,M,51,Porto,Loja/Telefone
CUST000321,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000322,Residencial,F,37,Viseu,Loja/Telefone
CUST000323,Residencial,M,40,Braga,Loja/Telefone
CUST000324,Residencial,F,80,Porto,Loja/Telefone
CUST000325,Residencial,M,34,Porto,App/Online
CUST000326,Residencial,M,53,Leiria,Loja/Telefone
CUST000327,Residencial,F,71,Lisboa,Loja/Telefone
CUST000328,Residencial,F,26,Faro,App/Online
CUST000329,Residencial,M,44,Madeira,Loja/Telefone
CUST000330,Residencial,M,25,Porto,App/Online
CUST000331,Residencial,F,33,Leiria,App/Online
CUST000332,Residencial,M,51,Lisboa,Loja/Telefone
CUST000333,Residencial,M,44,Lisboa,Loja/Telefone
CUST000334,VIP,M,20,Lisboa,App/Online
CUST000335,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000336,Residencial,M,71,Leiria,Loja/Telefone
CUST000337,VIP,M,53,Évora,Loja/Telefone
CUST000338,Residencial,M,37,Porto,Loja/Telefone
CUST000339,Residencial,M,29,Aveiro,App/Online
CUST000340,Residencial,M,45,Braga,Loja/Telefone
CUST000341,Residencial,F,29,Porto,App/Online
CUST000342,Residencial,F,63,Braga,Loja/Telefone
CUST000343,Residencial,M,41,Faro,Loja/Telefone
CUST000344,Residencial,M,20,Lisboa,App/Online
CUST000345,Residencial,F,37,Açores,Loja/Telefone
CUST000346,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000347,Residencial,M,57,Lisboa,Loja/Telefone
CUST000348,Residencial,F,51,Braga,Loja/Telefone
CUST000349,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000350,VIP,F,35,Braga,Loja/Telefone
CUST000351,VIP,M,19,Faro,App/Online
CUST000352,Residencial,M,65,Coimbra,Loja/Telefone
CUST000353,Residencial,M,44,Lisboa,Loja/Telefone
CUST000354,Residencial,M,67,Vila Real,Loja/Telefone
CUST000355,Residencial,M,50,Lisboa,Loja/Telefone
CUST000356,VIP,M,30,Aveiro,App/Online
CUST000357,Residencial,M,52,Viana do Castelo,Loja/Telefone
CUST000358,Empresarial,Empresa,,Castelo Branco,Loja/Telefone
CUST000359,Empresarial,Empresa,,Leiria,Loja/Telefone
CUST000360,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000361,Residencial,F,35,Porto,Loja/Telefone
CUST000362,Residencial,F,64,Porto,Loja/Telefone
CUST000363,Residencial,M,28,Lisboa,App/Online
CUST000364,Empresarial,Empresa,,Setúbal,Loja/Telefone
CUST000365,Residencial,M,60,Porto,Loja/Telefone
CUST000366,Residencial,M,55,Lisboa,Loja/Telefone
CUST000367,Residencial,M,42,Porto,Loja/Telefone
CUST000368,Residencial,M,47,Porto,Loja/Telefone
CUST000369,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000370,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000371,Residencial,F,58,Braga,Loja/Telefone
CUST000372,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000373,Residencial,F,37,Santarém,Loja/Telefone
CUST000374,Residencial,M,71,Faro,Loja/Telefone
CUST000375,Residencial,M,72,Braga,Loja/Telefone
CUST000376,Residencial,M,63,Lisboa,Loja/Telefone
CUST000377,Residencial,M,48,Faro,Loja/Telefone
CUST000378,Residencial,F,44,Setúbal,Loja/Telefone
CUST000379,Residencial,M,60,Madeira,Loja/Telefone
CUST000380,Residencial,M,43,Porto,Loja/Telefone
CUST000381,Residencial,M,26,Lisboa,App/Online
CUST000382,Residencial,M,42,Braga,Loja/Telefone
CUST000383,Residencial,M,57,Lisboa,Loja/Telefone
CUST000384,Residencial,M,48,Viana do Castelo,Loja/Telefone
CUST000385,Residencial,M,44,Viana do Castelo,Loja/Telefone
CUST000386,Residencial,M,33,Setúbal,App/Online
CUST000387,Empresarial,Empresa,,Vila Real,Loja/Telefone
CUST000388,Residencial,M,37,Lisboa,Loja/Telefone
CUST000389,Residencial,F,50,Porto,Loja/Telefone
CUST000390,Residencial,M,36,Leiria,Loja/Telefone
CUST000391,Residencial,F,46,Braga,Loja/Telefone
CUST000392,Residencial,M,53,Coimbra,Loja/Telefone
CUST000393,Residencial,M,56,Lisboa,Loja/Telefone
CUST000394,Residencial,M,48,Lisboa,Loja/Telefone
CUST000395,Residencial,M,24,Viseu,App/Online
CUST000396,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000397,VIP,F,42,Lisboa,Loja/Telefone
CUST000398,Residencial,M,18,Lisboa,App/Online
CUST000399,Residencial,F,40,Leiria,Loja/Telefone
CUST000400,Residencial,M,72,Porto,Loja/Telefone
CUST000401,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000402,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000403,Residencial,F,67,Setúbal,Loja/Telefone
CUST000404,Residencial,F,48,Porto,Loja/Telefone
CUST000405,Residencial,M,45,Guarda,Loja/Telefone
CUST000406,Residencial,F,23,Leiria,App/Online
CUST000407,Residencial,F,44,Viseu,Loja/Telefone
CUST000408,Residencial,F,40,Porto,Loja/Telefone
CUST000409,VIP,M,50,Lisboa,Loja/Telefone
CUST000410,Residencial,M,38,Porto,Loja/Telefone
CUST000411,Residencial,F,36,Porto,Loja/Telefone
CUST000412,Residencial,M,18,Évora,App/Online
CUST000413,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000414,VIP,M,29,Évora,App/Online
CUST000415,Residencial,M,54,Viseu,Loja/Telefone
CUST000416,Residencial,F,62,Lisboa,Loja/Telefone
CUST000417,Residencial,F,33,Coimbra,App/Online
CUST000418,Residencial,M,69,Viana do Castelo,Loja/Telefone
CUST000419,Residencial,M,46,Porto,Loja/Telefone
CUST000420,Residencial,M,50,Porto,Loja/Telefone
CUST000421,Residencial,F,38,Porto,Loja/Telefone
CUST000422,Residencial,M,36,Leiria,Loja/Telefone
CUST000423,Residencial,M,18,Porto,App/Online
CUST000424,Residencial,F,74,Braga,Loja/Telefone
CUST000425,Residencial,M,18,Lisboa,App/Online
CUST000426,Residencial,M,21,Viana do Castelo,App/Online
CUST000427,Residencial,M,42,Açores,Loja/Telefone
CUST000428,Residencial,F,43,Braga,Loja/Telefone
CUST000429,Residencial,M,20,Madeira,App/Online
CUST000430,Residencial,M,37,Setúbal,Loja/Telefone
CUST000431,Residencial,F,35,Porto,Loja/Telefone
CUST000432,Residencial,F,40,Porto,Loja/Telefone
CUST000433,Residencial,M,58,Aveiro,Loja/Telefone
CUST000434,Empresarial,Empresa,,Açores,Loja/Telefone
CUST000435,Residencial,F,69,Lisboa,Loja/Telefone
CUST000436,Residencial,M,53,Lisboa,Loja/Telefone
CUST000437,Empresarial,Empresa,,Madeira,Loja/Telefone
CUST000438,Residencial,M,52,Lisboa,Loja/Telefone
CUST000439,Empresarial,Empresa,,Évora,Loja/Telefone
CUST000440,Residencial,M,51,Lisboa,Loja/Telefone
CUST000441,Residencial,F,57,Viana do Castelo,Loja/Telefone
CUST000442,Residencial,F,34,Porto,App/Online
CUST000443,Residencial,F,25,Guarda,App/Online
CUST000444,Residencial,M,27,Viana do Castelo,App/Online
CUST000445,VIP,F,34,Coimbra,App/Online
CUST000446,Residencial,F,40,Leiria,Loja/Telefone
CUST000447,Residencial,F,49,Faro,Loja/Telefone
CUST000448,Residencial,M,35,Aveiro,Loja/Telefone
CUST000449,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000450,Residencial,M,45,Guarda,Loja/Telefone
CUST000451,Residencial,M,35,Porto,Loja/Telefone
CUST000452,Residencial,M,62,Coimbra,Loja/Telefone
CUST000453,Residencial,F,38,Lisboa,Loja/Telefone
CUST000454,Residencial,M,34,Setúbal,App/Online
CUST000455,Residencial,F,65,Porto,Loja/Telefone
CUST000456,Residencial,F,48,Porto,Loja/Telefone
CUST000457,Residencial,M,77,Setúbal,Loja/Telefone
CUST000458,Residencial,F,26,Lisboa,App/Online
CUST000459,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000460,Residencial,M,49,Aveiro,Loja/Telefone
CUST000461,Residencial,F,73,Santarém,Loja/Telefone
CUST000462,Residencial,M,34,Lisboa,App/Online
CUST000463,Residencial,M,46,Braga,Loja/Telefone
CUST000464,Residencial,F,36,Lisboa,Loja/Telefone
CUST000465,Residencial,M,38,Braga,Loja/Telefone
CUST000466,Residencial,M,52,Setúbal,Loja/Telefone
CUST000467,Residencial,F,30,Lisboa,App/Online
CUST000468,Residencial,M,20,Faro,App/Online
CUST000469,Empresarial,Empresa,,Guarda,Loja/Telefone
CUST000470,Residencial,F,40,Madeira,Loja/Telefone
CUST000471,Residencial,F,58,Coimbra,Loja/Telefone
CUST000472,Residencial,M,59,Coimbra,Loja/Telefone
CUST000473,Residencial,F,29,Braga,App/Online
CUST000474,Residencial,F,41,Madeira,Loja/Telefone
CUST000475,Residencial,M,53,Faro,Loja/Telefone
CUST000476,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000477,Residencial,M,66,Lisboa,Loja/Telefone
CUST000478,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000479,VIP,F,57,Lisboa,Loja/Telefone
CUST000480,Residencial,M,57,Lisboa,Loja/Telefone
CUST000481,Residencial,F,71,Braga,Loja/Telefone
CUST000482,Residencial,M,18,Braga,App/Online
CUST000483,Residencial,F,74,Viseu,Loja/Telefone
CUST000484,Residencial,F,47,Lisboa,Loja/Telefone
CUST000485,Residencial,M,18,Évora,App/Online
CUST000486,Residencial,F,48,Lisboa,Loja/Telefone
CUST000487,Empresarial,Empresa,,Coimbra,Loja/Telefone
